Date,Type,Player/Pick,Source,Destination
2015-08-30,add,Stephone Anthony,draftpicks,MP
2015-08-30,add,Corey Liuget,draftpicks,TJ
2015-08-30,add,Sheldon Richardson,draftpicks,CR
2015-08-30,add,Cameron Heyward,draftpicks,DB
2015-08-30,add,Tyler Eifert,draftpicks,MW
2015-08-30,add,Geno Atkins,draftpicks,TP
2015-08-30,add,Justin Tuck,draftpicks,JC
2015-08-30,add,Tre Mason,draftpicks,JC
2015-08-30,add,Devonta Freeman,draftpicks,TP
2015-08-30,add,Michael Crabtree,draftpicks,MW
2015-08-30,add,Jason McCourty,draftpicks,DB
2015-08-30,add,Clay Matthews,draftpicks,CR
2015-08-30,add,Steve Smith Sr.,draftpicks,TJ
2015-08-30,add,Dwayne Allen,draftpicks,MP
2015-08-30,add,Chris Long,draftpicks,MM
2015-08-30,add,Ronnie Hillman,draftpicks,BT
2015-08-30,add,DeMarcus Ware,draftpicks,SC
2015-08-30,add,Daryl Smith,draftpicks,SC
2015-08-30,add,Sam Bradford,draftpicks,BT
2015-08-30,add,Eddie Royal,daftpicks,MM
2015-08-30,add,Bradley McDougald,draftpicks,MP
2015-08-30,add,Anothony Barr,draftpicks,TJ
2015-08-30,add,T.J. Ward,draftpicks,CR
2015-08-30,add,Jay Cutler,draftpicks,DB
2015-08-30,add,Joe Haden,draftpicks,MW
2015-08-30,add,Glover Quin,draftpicks,TP
2015-08-30,add,Deone Bucannon,draftpicks,JC
2015-08-30,add,Stephen Gostkowski,draftpicks,JC
2015-08-30,add,Jonas Gray,draftpicks,TP
2015-08-30,add,Michael Bennett,draftpicks,MW
2015-08-30,add,Adam Vinatieri,draftpicks,DB
2015-08-30,add,Steven Hauschka,draftpicks,CR
2015-08-30,add,Mike Adams,draftpicks,TJ
2015-08-30,add,Markus Wheaton,draftpicks,MP
2015-08-30,add,Marcus Mariota,draftpicks,MM
2015-08-30,add,Justin Tucker,draftpicks,BT
2015-08-30,add,Mason Crosby,draftpicks,SC
2015-08-30,add,Kyle Fuller,draftpicks,SC
2015-08-30,add,Zach Ertz,draftpicks,BT
2015-08-30,add,Dan Bailey,draftpicks,MM
2015-08-30,add,Cody Parkey,draftpicks,MP
2015-08-30,add,Matt Bryant,draftpicks,TJ
2015-08-30,add,Antonio Gates,draftpicks,CR
2015-08-30,add,Chad Greenway,drafpticks,DB
2015-08-30,add,Blair Walsh,draftpicks,MW
2015-08-30,add,Dan Carpenter,draftpicks,TP
2015-08-30,add,Victor Cruz,draftpicks,JC
2015-08-31,drop,Sheldon Richardson,CR,waivers
2015-09-01,drop,C.J. Mosley,MM,waivers
2015-09-01,add,Leonard Williams,waivers,MM
2015-09-01,add,Karl Klug,waivers,CR
2015-09-01,drop,Michael Bennett,MW,waivers
2015-09-01,add,Stevie Johnson,waivers,MW
2015-09-01,drop,Blair Walsh,MW,waivers
2015-09-01,add,Matt Prater,waivers,MW
2015-09-07,add,Tashaun Gipson,freeagents,TJ
2015-09-07,drop,Vontaze Burfict,TP,waivers
2015-09-07,add,Gerald Hodges Jr.,freeagents,TP
2015-09-09,drop,Dan Carpenter,TP,waivers
2015-09-09,add,Phil Dawson,freeagents,TP
2015-09-09,drop,Eric Berry,MM,waivers
2015-09-09,add,Charles Tillman,freeagents,MM
2015-09-10,drop,Jonas Gray,TP,waivers
2015-09-10,add,Alfred Blue,freeagents,TP
2015-09-10,drop,Jay Cutler,DB,waivers
2015-09-10,add,Casey Hayward,freeagents,DB
2015-09-10,drop,Chad Greenway,DB,waivers
2015-09-10,add,Vincent Rey,freeagents,DB
2015-09-10,drop,Greg Hardy,JC,waivers
2015-09-10,add,Xavier Proctor,freeagents,JC
2015-09-11,drop,Demarcus Lawrence,MP,waivers
2015-09-11,add,DeVante Parker,freeagents,MP
2015-09-12,trade,Round 16,DB,MP
2015-09-12,trade,Round 13,DB,MP
2015-09-12,trade,Round 17,MP,DB
2015-09-12,trade,Round 15,MP,DB
2015-09-12,trade,Kam Chancellor,DB,MP
2015-09-12,trade,Sammy Watkins,DB,MP
2015-09-12,trade,Kenny Vaccaro,MP,DB
2015-09-12,trade,DeAndre Hopkins,MP,DB
2015-09-15,drop,Jason Pierre-Paul,JC,waivers
2015-09-16,drop,Tyvon Branch,JC,waivers
2015-09-16,add,Donte Moncrief,waivers,JC
2015-09-16,drop,Sio Moore,TJ,waivers
2015-09-16,add,David Johnson,waivers,TJ
2015-09-16,drop,Michael Crabtree,MW,waivers
2015-09-16,add,James Jones,waivers,MW
2015-09-16,drop,Antrel Rolle,TP,waivers
2015-09-16,add,Thomas Davis,waivers,TP
2015-09-16,drop,Jerod Mayo,BT,waivers
2015-09-16,add,Dont'a Hightower,waivers,BT
2015-09-16,drop,Brandon LaFell,SC,waivers
2015-09-16,add,Kendall Wright,waivers,SC
2015-09-16,drop,Markus Wheaton,MP,waivers
2015-09-16,add,Carson Palmer,waivers,MP
2015-09-16,drop,Delanie Walker,MW,waivers
2015-09-16,add,Henry Anderson,waivers,MW
2015-09-16,drop,Chris Long,MM,waivers
2015-09-16,add,William Moore,freeagents,MM
2015-09-16,drop,Stephone Anthony,MP,waivers
2015-09-16,add,Terrance Williams,freeagents,MP
2015-09-16,drop,Cam Newton,MW,waivers
2015-09-16,add,Alex Smith,freeagents,MW
2015-09-16,add,Michael Bennett,freeagents,JC
2015-09-16,drop,Charles Woodson,DB,waivers
2015-09-16,add,Josh Norman,freeagents,DB
2015-09-17,drop,DeVante Parker,MP,waivers
2015-09-17,add,Danny Woodhead,freeagents,MP
2015-09-20,drop,DeMarcus Ware,SC,waivers
2015-09-20,add,Antrel Rolle,freeagents,SC
2015-09-23,drop,Xavier Proctor,JC,waivers
2015-09-23,add,DeMarcus Ware,waivers,JC
2015-09-23,drop,Nelson Agholor,MW,waivers
2015-09-23,add,Matt Jones,waivers,MW
2015-09-23,drop,Bradley McDougald,MP,waivers
2015-09-23,add,Adam Jones,waivers,MP
2015-09-23,drop,Zach Ertz,BT,waivers
2015-09-23,add,Dion Lewis,waivers,BT
2015-09-23,drop,Adam Vinatieri,DB,waivers
2015-09-23,add,Robbie Gould,waivers,DB
2015-09-23,drop,Matt Prater,MW,waivers
2015-09-23,add,Brandon McManus,waivers,MW
2015-09-23,drop,Dwayne Allen,MP,waivers
2015-09-23,add,Heath Miller,waivers,MP
2015-09-23,drop,Karl Klug,CR,waivers
2015-09-23,add,Jacquies Smith,freeagents,CR
2015-09-23,drop,Alex Smith,MW,waivers
2015-09-23,add,Tyrod Taylor,freeagents,MW
2015-09-23,drop,Olivier Vernon,DB,waivers
2015-09-23,add,James Starks,freeagents,DB
2015-09-23,drop,Casey Hayward,DB,waivers
2015-09-23,add,Marcus Peters,freeagents,DB
2015-09-23,add,Travis Benjamin,freeagents,TP
2015-09-24,drop,Eddie Royal,MM,waivers
2015-09-24,add,Pierre Garcon,freeagents,MM
2015-09-30,drop,Charles Johnson,CR,waivers
2015-09-30,add,Delanie Walker,waivers,CR
2015-09-30,drop,Joique Bell,TJ,waivers
2015-09-30,add,Charles Clay,waivers,TJ
2015-09-30,drop,Stevie Johnson,MW,waivers
2015-09-30,add,Rishard Matthews,waivers,MW
2015-09-30,drop,Drew Brees,MM,waivers
2015-09-30,add,Cam Newton,waivers,MM
2015-09-30,drop,Daryl Smith,SC,waivers
2015-09-30,add,Karlos Williams,waivers,SC
2015-09-30,drop,Cameron Heyward,DB,waivers
2015-09-30,add,Jaye Howard,waivers,DB
2015-09-30,drop,Sam Bradford,BT,waivers
2015-09-30,add,Andy Dalton,waivers,BT
2015-09-30,drop,Cody Parkey,MP,waivers
2015-09-30,add,Sebastian Janikowski,waivers,MP
2015-09-30,drop,Matt Jones,MW,waivers
2015-09-30,add,Lance Dunbar,waivers,MW
2015-09-30,drop,Terrance Williams,MP,waivers
2015-09-30,add,Greg Hardy,waivers,MP
2015-09-30,drop,Danny Trevathan,MW,waivers
2015-09-30,add,David Harris,waivers,MW
2015-09-30,drop,Joe Haden,MW,waivers
2015-09-30,add,Ronald Darby,waivers,MW
2015-09-30,drop,Bishop Sankey,CR,waivers
2015-09-30,add,Darren Sproles,freeagents,CR
2015-09-30,drop,Martavis Bryant,BT,waivers
2015-09-30,add,Marvin Jones,freeagents,BT
2015-09-30,drop,Kyle Fuller,SC,waivers
2015-09-30,add,Michael Brockers,freeagents,SC
2015-09-30,drop,Da'Norris Searcy,DB,waivers
2015-09-30,add,Aqib Talib,freeagents,DB
2015-09-30,drop,Delanie Walker,CR,waivers
2015-09-30,add,Rueben Randle,freeagents,CR
2015-09-30,drop,Rueben Randle,CR,waivers
2015-09-30,add,Zach Ertz,freeagents,CR
2015-10-01,drop,Alfred Blue,TP,waivers
2015-10-01,add,Derek Carr,freeagents,TP
2015-10-01,drop,Phil Dawson,TP,waivers
2015-10-01,add,Josh Brown,freeagents,TP
2015-10-01,drop,Rashad Jennings,MP,waivers
